# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
145.466,NaN
148.587,NaN
154.602,NaN
151.359,NaN
153.947,NaN
154.595,NaN
159.151,NaN
147.424,NaN
152.347,NaN
149.255,NaN
151.246,NaN
161.492,NaN
167.157,NaN
162.888,NaN
152.2,NaN
147.487,NaN
149.367,NaN
150.232,NaN
153.912,NaN
150.603,NaN
156.356,NaN
150.229,NaN
150.748,NaN
152.523,NaN
151.032,NaN
151.754,NaN
155.48,NaN
150.256,NaN
151.813,NaN
151.548,NaN
156.228,NaN
153.663,NaN
164.409,NaN
150.712,NaN
153.146,NaN
150.178,NaN
159.085,NaN
150.011,NaN
152.596,NaN
153.473,NaN
150.162,NaN
152.212,NaN
151.28,NaN
152.904,NaN
154.263,NaN
157.376,NaN
149.764,NaN
149.674,NaN
157.735,NaN
152.632,NaN
151.472,NaN
152.132,NaN
151.505,NaN
152.435,NaN
164.766,NaN
153.425,NaN
153.208,NaN
150.829,NaN
154.484,NaN
151.344,NaN
155.208,NaN
166.49,NaN
165.549,NaN
139.21,NaN
147.693,NaN
147.185,NaN
148.844,NaN
153.765,NaN
157.898,NaN
149.481,NaN
150.069,NaN
154.396,NaN
156.508,NaN
153.152,NaN
150.078,NaN
153.599,NaN
151.646,NaN
151.994,NaN
153.816,NaN
155.101,NaN
150.34,NaN
# Event GROUND_HIT occurred at t=242.547 seconds
# Event SIMULATION_END occurred at t=242.547 seconds
150.41,NaN
